manufactered_date,brand,series,model,name,categories,for_brand,for_lens_model,with_adapter,zooms_primes,focal_lengths,special_designs,filter_thread,brand_lens_hood,dimensions,format_compatibility,,,,,,,,,,,,,
,,,,,,Multi,Multi,Multi,Drop Down,Range,Drop Down,Range,Text,Text,Multi,,,,,,,,,,,,,
8/27/08,Abakus,Stadium,381,381 Stadium 3.5mm T1.9,Digital Cine Lenses,Universal,B4 Mount,,Prime Lenses,3.5mm,,None,x,"4.3 x 7.4"" (11 x 18.8cm)",,,,,,,,,,,,,,
8/6/07,Abakus,Super 16,381-S16,381-S16 Super 16mm Stadium 3.5mm T1.9 ,Digital Cine Lenses,Universal,PL Mount,,Prime Lenses,3.5mm,Wide-Angle,None,x,"5.1 x 7.7"" (13 x 19.5cm)",,,,,,,,,,,,,,
8/27/08,Abakus,Arena,382,382 Arena 5.5mm T1.9,Digital Cine Lenses,Universal,B4 Mount,,Prime Lenses,5.5mm,,105mm,x,"4.3 x 7.4"" (11 x 18.8cm)",,,,,,,,,,,,,,
8/27/08,Abakus,Theater,384,384 Theater 6.5mm T2.0,Digital Cine Lenses,Universal,B4 Mount,,Prime Lenses,6.5mm,,105mm,x,"4.3 x 7.55"" (11 x 19.2cm)",,,,,,,,,,,,,,
8/27/08,Abakus,Stadium,385,385 Stadium 3.5mm T1.9,Digital Cine Lenses,Universal,PL Mount,,Prime Lenses,3.5mm,,None,x,"4.3 x 7.55"" (11 x 19.2cm)",,,,,,,,,,,,,,
12/11/14,Angenieux,Optimo DP,,Optimo DP 16-40mm T2.8 2.5x,Digital Cine Lenses,Universal,PL Mount,,Zoom Lenses,16-40mm,,None,x,"4.5 x 7.3"" (114 x 186 mm)",,,,,,,,,,,,,,
8/17/15,Angenieux,Optimo DP,,Optimo DP 25-250mm T3.5 10x,Digital Cine Lenses,Universal,PL Mount,,Zoom Lenses,25-250mm,,None,x,"5.35 x 14.85"" (136 x 377.4 mm)",,,,,,,,,,,,,,
12/10/14,Angenieux,Optimo DP,,Optimo DP 30-76mm T2.8 2.5x,Digital Cine Lenses,Universal,PL Mount,,Zoom Lenses,30-76mm,,None,x,"4.5 x 7.3"" (114 x 186 mm)",,,,,,,,,,,,,,
11/18/09,Angenieux,Optimo DP,,Optimo DP Rouge 16-42mm T2.8 2.5x,Digital Cine Lenses,Universal,PL Mount,,Zoom Lenses,16-42mm,,None,x,"4.48 x 7.48"" (114 x 190 mm)",,,,,,,,,,,,,,
