BRAND,SKU_NO,SEQNUM,CAPTION,FILE_NAME,THUMBNAIL,FULL_URL
Axler,3219,1,Side View,IMG_472685.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_472685.jpg
Axler,3219,2,Roller Detail,IMG_472686.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_472686.jpg
Axler,3219,3,Stand Options,IMG_472687.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_472687.jpg
Axler,3219,4,Bag,IMG_472688.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_472688.jpg
Axler,3219,5,Shown in Use,IMG_472689.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_472689.jpg
Axler,3220,1,Alternate View,IMG_492068.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_492068.jpg
Axler,3220,2,Alternate View,IMG_492069.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_492069.jpg
Axler,3220,3,Alternate View,IMG_492070.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_492070.jpg
Axler,3220,4,Alternate View,IMG_492071.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_492071.jpg
Axler,3220,5,Alternate View,IMG_492072.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_492072.jpg
Axler,3220,6,Alternate View,IMG_492073.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_492073.jpg
Axler,3220,7,No Extensions,IMG_610844.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_610844.jpg
Axler,3220,8,Medium Extension,IMG_610845.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_610845.jpg
Axler,3220,9,Stand Options,IMG_492076.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_492076.jpg
Axler,3220,10,Case,IMG_492077.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_492077.jpg
Axler,3220,11,Includes,IMG_492078.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_492078.jpg
Axler,3220,12,Long Extension Suggested Use,IMG_492079.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_492079.jpg
Axler,6284,1,Alternate View,IMG_446679.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_446679.jpg
Axler,6284,2,Alternate View,IMG_446680.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_446680.jpg
Axler,6284,3,Alternate View,IMG_446681.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_446681.jpg
Axler,6284,4,Alternate View,IMG_446682.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_446682.jpg
Axler,6284,5,Alternate View,IMG_446683.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_446683.jpg
Axler,6284,6,Alternate View,IMG_446684.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_446684.jpg
Axler,6284,7,Alternate View,IMG_446685.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_446685.jpg
Axler,6284,8,Alternate View,IMG_446686.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_446686.jpg
Axler,6284,9,Alternate View,IMG_446687.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_446687.jpg
Axler,6284,10,Plate Bottom,IMG_446688.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_446688.jpg
Axler,6284,11,Suggested Use,IMG_446689.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_446689.jpg
Axler,6285,1,Alternate View,IMG_447196.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_447196.jpg
Axler,6285,2,Alternate View,IMG_447197.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2000x2000/IMG_447197.jpg
Axler,6285,3,Alternate View,IMG_447198.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2000x2000/IMG_447198.jpg
Axler,6285,4,Alternate View,IMG_447199.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2000x2000/IMG_447199.jpg
Axler,6285,5,Alternate View,IMG_447200.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2000x2000/IMG_447200.jpg
Axler,6285,6,Alternate View,IMG_447201.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2000x2000/IMG_447201.jpg
Axler,6285,7,Alternate View,IMG_447202.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2000x2000/IMG_447202.jpg
Axler,6285,8,Alternate View,IMG_447203.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_447203.jpg
Axler,6285,9,Alternate View,IMG_447204.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_447204.jpg
Axler,6285,10,Plate Bottom,IMG_447205.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_447205.jpg
Axler,6285,11,Suggested Use,IMG_447206.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_447206.jpg
Axler,6290,1,Bottom View,IMG_446667.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_446667.jpg
Axler,6290,2,QRP-501L with QRA-501L,IMG_446668.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_446668.jpg
