BRAND,DNLA,SKU_NO,SEQNUM,INCLUDES,INCLUDES_RAW,INCLUDED_QTY,LINK_SKU
Axler,N,6345,1,Weight Plate,Weight Plate,1,
Axler,N,6345,2,Counterweights,Counterweights,4,
Axler,N,6345,3,Quick Release Plate,Quick Release Plate,1,
Axler,N,6345,4,"1/4""-20 Screw","1/4""-20 Screw",1,
Axler,N,6345,5,"3/8""-16 Screw","3/8""-16 Screw",1,
Axler,N,6345,6,Carry Bag,Carry Bag,1,
Axler,N,6345,7,Limited 1-Year Warranty,Limited 1-Year Warranty,1,
Axler,N,6347,1,Quick-Release Plate,Quick-Release Plate,1,
Axler,N,6347,2,Counterweights,Counterweights,4,
Axler,N,6347,3,"1/4""-20 Screw","1/4""-20 Screw",1,
Axler,N,6347,4,"3/8""-16 Screw","3/8""-16 Screw",1,
Axler,N,6347,5,Carry Bag,Carry Bag,1,
Axler,N,6347,6,Limited 1-Year Warranty,Limited 1-Year Warranty,1,
Axler,N,6284,1,Quick-Release Adapter,Quick-Release Adapter,1,
Axler,N,6284,2,QRP-501L Quick-Release Plate (Long),QRP-501L Quick-Release Plate (Long),1,6290
Axler,N,6284,3,"3/8""-16 Mounting Screw","3/8""-16 Mounting Screw",1,
Axler,N,6284,4,Hex Key,Hex Key,1,
Axler,N,6284,5,Limited 1-Year Warranty,Limited 1-Year Warranty,1,
Axler,N,6285,1,Quick-Release Adapter,Quick-Release Adapter,1,
Axler,N,6285,2,QRP-501S Quick-Release Plate (Standard),QRP-501S Quick-Release Plate (Standard),1,6291
Axler,N,6285,3,"3/8""-16 Mounting Screw","3/8""-16 Mounting Screw",1,
Axler,N,6285,4,Hex Key,Hex Key,1,
Axler,N,6285,5,Limited 1-Year Warranty,Limited 1-Year Warranty,1,
Axler,N,6346,1,Quick-Release Plate,Quick-Release Plate,1,
Axler,N,6346,2,Counterweights,Counterweights,2,
Axler,N,6346,3,Counterweight Bolt,Counterweight Bolt,1,
Axler,N,6346,4,Limited 1-Year Warranty,Limited 1-Year Warranty,1,
Axler,N,6291,1,"3/8""-16 Camera Screw","3/8""-16 Camera Screw",1,
Axler,N,6291,2,"1/4""-20 Camera Screw","1/4""-20 Camera Screw",1,
Axler,N,6291,3,Limited 1-Year Warranty,Limited 1-Year Warranty,1,
Axler,N,6290,1,"3/8""-16 Camera Screw","3/8""-16 Camera Screw",1,
Axler,N,6290,2,"1/4""-20 Camera Screw","1/4""-20 Camera Screw",1,
Axler,N,6290,3,Limited 1-Year Warranty,Limited 1-Year Warranty,1,
Axler,N,6348,1,"1/4""-20 Screw","1/4""-20 Screw",1,
Axler,N,6348,2,"3/8""-16 Screw","3/8""-16 Screw",1,
Axler,N,6348,3,Limited 1-Year Warranty,Limited 1-Year Warranty,1,
Axler,N,6344,1,"1/4""-20 Screw","1/4""-20 Screw",1,
Axler,N,6344,2,"3/8""-16 Screw","3/8""-16 Screw",1,
Axler,N,6344,3,Limited 1-Year Warranty,Limited 1-Year Warranty,1,
Axler,N,6349,1,"1/4""-20 Screw","1/4""-20 Screw",1,
Axler,N,6349,2,Limited 1-Year Warranty,Limited 1-Year Warranty,1,
Axler,N,3219,1,Weighted Flywheel,Weighted Flywheel,1,
Axler,N,3219,2,"3/8""-16 Bushing","3/8""-16 Bushing",1,
Axler,N,3219,3,Carry Case,Carry Case,1,
Axler,N,3219,4,Limited 1-Year Warranty,Limited 1-Year Warranty,1,
Axler,N,3220,1,Flywheel Handle,Flywheel Handle,1,
Axler,N,3220,2,"20"" Extension Rods","20"" Extension Rods",4,
Axler,N,3220,3,"40"" (100 cm) belt","40"" (100 cm) belt",1,
Axler,N,3220,4,"60"" (150 cm) belt","60"" (150 cm) belt",1,
Axler,N,3220,5,"3/8""-16 Bushing (for 1/4""-20 Camera Screw)","3/8""-16 Bushing (for 1/4""-20 Camera Screw)",1,
Axler,N,3220,6,Adjustable Center Foot,Adjustable Center Foot,1,
Axler,N,3220,7,Carry Case,Carry Case,1,
Axler,N,3220,8,Limited 1-Year Warranty,Limited 1-Year Warranty,1,
Axler,N,6343,1,Limited 1-Year Warranty,Limited 1-Year Warranty,1,
Axler,N,6342,1,Limited 1-Year Warranty,Limited 1-Year Warranty,1,
Axler,N,6341,1,Limited 1-Year Warranty,Limited 1-Year Warranty,1,
Axler,N,6340,1,Limited 1-Year Warranty,Limited 1-Year Warranty,1,
Axler,N,8228,1,Quick Release Plate,Quick Release Plate,1,
Axler,N,8228,2,Offset Adapter Plate,Offset Adapter Plate,1,
Axler,N,8228,3,"1/4""-20 Mounting Screws","1/4""-20 Mounting Screws",2,
Axler,N,8228,4,Rubber Grips,Rubber Grips,1,
Axler,N,8228,5,Battery Tray,Battery Tray,1,
Axler,N,8228,6,Rechargeable 18650 Batteries,Rechargeable 18650 Batteries,3,
Axler,N,8228,7,Micro-USB to USB Cable,Micro-USB to USB Cable,1,
Axler,N,8228,8,USB-Powered LED Light,USB-Powered LED Light,1,
Axler,N,8228,9,Carrying Case,Carrying Case,1,
Axler,N,8228,10,Limited 1-Year Warranty,Limited 1-Year Warranty,1,
Axler,N,8310,1,Limited 1-Year Warranty,Limited 1-Year Warranty,1,
Axler,N,8479,1,Cage Body,Cage Body,1,
Axler,N,8479,2,Top Handle,Top Handle,1,
Axler,N,8479,3,Top Handle Connector,Top Handle Connector,1,
Axler,N,8479,4,Baseplate,Baseplate,1,
Axler,N,8479,5,"15mm Rods (11.75"")","15mm Rods (11.75"")",2,
Axler,N,8479,6,M4x14 Screws,M4x14 Screws,2,
Axler,N,8479,7,M4x8 Screws,M4x8 Screws,2,
Axler,N,8479,8,M4x6 Screws,M4x6 Screws,3,
Axler,N,8479,9,"1/4""-20 Camera Screw","1/4""-20 Camera Screw",1,
Axler,N,8479,10,Allen Key,Allen Key,1,
Axler,N,8479,11,Arc T Key,Arc T Key,1,
Axler,N,8479,12,HDMI Cable Clamp,HDMI Cable Clamp,1,
Axler,N,8479,13,Micro-HDMI to HDMI Adapter Cable,Micro-HDMI to HDMI Adapter Cable,1,
Axler,N,8479,14,Limited 1-Year Warranty,Limited 1-Year Warranty,1,
Axler,N,8480,1,Cage Body,Cage Body,1,
Axler,N,8480,2,Quick Release Plate,Quick Release Plate,1,
Axler,N,8480,3,Top Handle,Top Handle,1,
Axler,N,8480,4,Top Handle Connector,Top Handle Connector,1,
