Brand," DNLA"," SKU_NO"," SEQNUM"," INCLUDES"," INCLUDES RAW"," INCLUDED QTY"," LINK_SKU"
185327,N,11085,1,"Female 3/8""-16 to 5/8"" Stud Adapter","Female 3/8""-16 to 5/8"" Stud Adapter",1,
185327,N,11085,2,"Male 1/4""-20 to 5/8"" Stud Adapter","Male 1/4""-20 to 5/8"" Stud Adapter",1,
185327,N,11085,3,"User Manual","User Manual",1,
185327,N,11085,4,"One-year limited warranty","One-year limited warranty",1,
185327,N,10674,1,"Carrying bag","Carrying bag",1,
185327,N,10674,2,"User manual","User manual",1,
185327,N,10674,3,"One-year limited warranty","One-year limited warranty",1,
185327,N,10659,1,"Carrying bag","Carrying bag",1,
185327,N,10659,2,"User manual","User manual",1,
185327,N,10659,3,"One-year limited warranty","One-year limited warranty",1,
185327,N,10657,1,"Carrying bag","Carrying bag",1,
185327,N,10657,2,"User manual","User manual",1,
185327,N,10657,3,"One-year limited warranty","One-year limited warranty",1,
185327,N,10656,1,"Carrying bag","Carrying bag",1,
185327,N,10656,2,"User manual","User manual",1,
185327,N,10656,3,"One-year limited warranty","One-year limited warranty",1,
185327,N,10651,1,"Carrying bag","Carrying bag",1,
185327,N,10651,2,"User manual","User manual",1,
185327,N,10651,3,"One-year limited warranty","One-year limited warranty",1,
185327,N,10652,1,"Carrying bag","Carrying bag",1,
185327,N,10652,2,"User manual","User manual",1,
185327,N,10652,3,"One-year limited warranty","One-year limited warranty",1,
185327,N,10649,1,"Carrying bag","Carrying bag",1,
185327,N,10649,2,"User manual","User manual",1,
185327,N,10649,3,"One-year limited warranty","One-year limited warranty",1,
185327,N,10650,1,"Carrying bag","Carrying bag",1,
185327,N,10650,2,"User manual","User manual",1,
185327,N,10650,3,"One-year limited warranty","One-year limited warranty",1,
185327,N,10648,1,"Carrying bag","Carrying bag",1,
185327,N,10648,2,"User Manual","User Manual",1,
185327,N,10648,3,"One-year limited warranty","One-year limited warranty",1,
185338,N,8228,1,"Quick Release Plate","Quick Release Plate",1,
185338,N,8228,2,"Offset Adapter Plate","Offset Adapter Plate",1,
185338,N,8228,3,"1/4""-20 Mounting Screws","1/4""-20 Mounting Screws",2,
185338,N,8228,4,"Rubber Grips","Rubber Grips",1,
185338,N,8228,5,"Battery Tray","Battery Tray",1,
185338,N,8228,6,"Rechargeable 18650 Batteries","Rechargeable 18650 Batteries",3,
185338,N,8228,7,"Micro-USB to USB Cable","Micro-USB to USB Cable",1,
185338,N,8228,8,"USB-Powered LED Light","USB-Powered LED Light",1,
185338,N,8228,9,"Carrying Case","Carrying Case",1,
185338,N,8228,10,"Limited 1-Year Warranty","Limited 1-Year Warranty",1,
185338,N,6349,1,"1/4""-20 Screw","1/4""-20 Screw",1,
185338,N,6349,2,"Limited 1-Year Warranty","Limited 1-Year Warranty",1,
185338,N,6348,1,"1/4""-20 Screw","1/4""-20 Screw",1,
185338,N,6348,2,"3/8""-16 Screw","3/8""-16 Screw",1,
185338,N,6348,3,"Limited 1-Year Warranty","Limited 1-Year Warranty",1,
185338,N,6347,1,"Quick-Release Plate","Quick-Release Plate",1,
185338,N,6347,2,Counterweights,Counterweights,4,
185338,N,6347,3,"1/4""-20 Screw","1/4""-20 Screw",1,
185338,N,6347,4,"3/8""-16 Screw","3/8""-16 Screw",1,
185338,N,6347,5,"Carry Bag","Carry Bag",1,
185338,N,6347,6,"Limited 1-Year Warranty","Limited 1-Year Warranty",1,
185338,N,9669,1,"Quick-Release Plate","Quick-Release Plate",1,
185338,N,9669,2,Counterweight,Counterweight,1,
185338,N,9669,3,"Counterweight Bolt","Counterweight Bolt",1,
185338,N,9669,4,"Limited 1-Year Warranty","Limited 1-Year Warranty",1,
185338,N,8310,1,"Limited 1-Year Warranty","Limited 1-Year Warranty",1,
185338,N,6345,1,"Weight Plate","Weight Plate",1,
185338,N,6345,2,Counterweights,Counterweights,4,
185338,N,6345,3,"Quick Release Plate","Quick Release Plate",1,
185338,N,6345,4,"1/4""-20 Screw","1/4""-20 Screw",1,
185338,N,6345,5,"3/8""-16 Screw","3/8""-16 Screw",1,
185338,N,6345,6,"Carry Bag","Carry Bag",1,
185338,N,6345,7,"Limited 1-Year Warranty","Limited 1-Year Warranty",1,
185338,N,6344,1,"1/4""-20 Screw","1/4""-20 Screw",1,
185338,N,6344,2,"3/8""-16 Screw","3/8""-16 Screw",1,
185338,N,6344,3,"Limited 1-Year Warranty","Limited 1-Year Warranty",1,
185338,N,6343,1,"Limited 1-Year Warranty","Limited 1-Year Warranty",1,
185338,N,6342,1,"Limited 1-Year Warranty","Limited 1-Year Warranty",1,
185338,N,6341,1,"Limited 1-Year Warranty","Limited 1-Year Warranty",1,
185338,N,6340,1,"Limited 1-Year Warranty","Limited 1-Year Warranty",1,
185338,N,6291,1,"3/8""-16 Camera Screw","3/8""-16 Camera Screw",1,
185338,N,6291,2,"1/4""-20 Camera Screw","1/4""-20 Camera Screw",1,
185338,N,6291,3,"Limited 1-Year Warranty","Limited 1-Year Warranty",1,
185338,N,6290,1,"3/8""-16 Camera Screw","3/8""-16 Camera Screw",1,
185338,N,6290,2,"1/4""-20 Camera Screw","1/4""-20 Camera Screw",1,
185338,N,6290,3,"Limited 1-Year Warranty","Limited 1-Year Warranty",1,
185338,N,6285,1,"Quick-Release Adapter","Quick-Release Adapter",1,
185338,N,6285,2,SKU:6291,SKU:6291,1,
185338,N,6285,3,"3/8""-16 Mounting Screw","3/8""-16 Mounting Screw",1,
