product_websites	_attribute_set	product_type	mfr_num	name	price	weight	length	width	height	qty	tax_class_id	status	developer_name	brand	brand_code	category_sage	main_class_sage	sub_class_sage	upc	created_at	updated_at	warranty	countryorigin	prod_life_cycle	sku	visibility
impact	Default	simple	10032070	UNIV BOUNCE DIFFUSER f/SHOE MNT FLASH	0	0	0	0	0	0	2	1	Daniel Waxel	Impact	IMPAC	Photo	Flash Accessories	Flash Modifiers	8.47628E+11	[2013-01-01 00:00:00]	[2016-02-29 00:00:00]	12	China	55) Discontinued	1000	"Catalog, Search"
impact	Default	simple	10032080	MINI SOFTBOX f/SHOE MOUNT FLASH	0	0	0	0	0	0	2	1	Daniel Waxel	Impact	IMPAC	Photo	Flash Accessories	Flash Modifiers	8.47628E+11	[2013-01-01 00:00:00]	[2016-02-29 00:00:00]	12	China	55) Discontinued	1001	"Catalog, Search"
impact	Default	simple	10032240	"1/4""/M (PHN) to PC/M CABLE - 6'"	1.84	0	0	0	0	78	2	1	Daniel Waxel	Impact	IMPAC	Lighting	Flash Trigger & Accessories	Flash Triggers Cables&Adapters	8.47628E+11	[2013-01-01 00:00:00]	[2016-12-14 00:00:00]	12	China	40) Active w/stock	1009	"Catalog, Search"
impact	Default	simple	10032250	"1/4""/M (PHN) to PC/M Cable - 10'"	2.31	0	0	0	0	187	2	1	Daniel Waxel	Impact	IMPAC	Lighting	Flash Trigger & Accessories	Flash Triggers Cables&Adapters	8.47628E+11	[2013-01-01 00:00:00]	[2016-09-08 00:00:00]	12	China	40) Active w/stock	1010	"Catalog, Search"
impact	Default	simple	10032255	"PHONE/M (1/4"") to PC/M CABLE - 20'"	3.25	0	0	0	0	182	2	1	Daniel Waxel	Impact	IMPAC	Lighting	Flash Trigger & Accessories	Flash Triggers Cables&Adapters	8.47628E+11	[2013-01-01 00:00:00]	[2016-09-08 00:00:00]	12	China	40) Active w/stock	1011	"Catalog, Search"
impact	Default	simple	10032260	"1/4""/M (PHN) to PC/M CABLE - 33'"	5.19	0	0	0	0	40	2	1	Daniel Waxel	Impact	IMPAC	Lighting	Flash Trigger & Accessories	Flash Triggers Cables&Adapters	8.47628E+11	[2013-01-01 00:00:00]	[2016-09-08 00:00:00]	12	China	40) Active w/stock	1012	"Catalog, Search"
impact	Default	simple	10032270	HOUSEHOLD/M to PC/M CABLE - 10'	2.26	0	0	0	0	20	2	1	Daniel Waxel	Impact	IMPAC	Lighting	Flash Trigger & Accessories	Flash Triggers Cables&Adapters	8.47628E+11	[2013-01-01 00:00:00]	[2016-09-09 00:00:00]	12	China	40) Active w/stock	1013	"Catalog, Search"
impact	Default	simple	10032280	MINI/M to MINI/M CABLE - 6'	1.39	0	0	0	0	410	2	1	Daniel Waxel	Impact	IMPAC	Lighting	Flash Trigger & Accessories	Flash Triggers Cables&Adapters	8.47628E+11	[2013-01-01 00:00:00]	[2016-02-29 00:00:00]	12	China	40) Active w/stock	1014	"Catalog, Search"
impact	Default	simple	10032290	MINI/M to PC/M CABLE - 6'	1.6	0	0	0	0	272	2	1	Daniel Waxel	Impact	IMPAC	Lighting	Flash Trigger & Accessories	Flash Triggers Cables&Adapters	8.47628E+11	[2013-01-01 00:00:00]	[2016-09-09 00:00:00]	12	China	40) Active w/stock	1015	"Catalog, Search"
impact	Default	simple	10032310	PC/F to PC/M CABLE - 1.5'	1.45	0	0	0	0	54	2	1	Daniel Waxel	Impact	IMPAC	Lighting	Flash Trigger & Accessories	Flash Triggers Cables&Adapters	8.47628E+11	[2013-01-01 00:00:00]	[2016-09-09 00:00:00]	12	China	40) Active w/stock	1016	"Catalog, Search"
